Freq,normFlux
1935.53,1.00185
1935.54,1.01162
1935.55,0.980062
1935.56,0.984605
1935.56,0.996551
1935.57,0.986536
1935.58,1.00383
1935.59,1.00972
1935.60,1.00049
1935.60,1.01797
1935.61,1.01194
1935.62,1.01044
1935.63,1.00626
1935.64,1.01009
1935.64,0.974522
1935.65,0.985808
1935.66,1.00421
1935.67,1.02067
1935.68,1.01029
1935.69,0.995612
1935.69,0.991267
1935.70,0.993836
1935.71,1.00436
1935.72,1.00076
1935.73,1.01490
1935.73,1.00800
1935.74,1.00873
1935.75,1.01929
1935.76,1.01166
1935.77,1.00527
1935.77,1.00474
1935.78,1.00410
1935.79,1.01529
1935.80,1.00257
1935.81,1.00357
1935.81,0.999036
1935.82,0.977729
1935.83,0.977762
1935.84,0.995174
1935.85,1.01759
1935.85,0.981831
1935.86,0.984905
1935.87,1.00778
1935.88,1.00866
1935.89,1.02109
1935.90,1.00524
1935.90,1.01670
1935.91,1.01667
1935.92,0.998694
1935.93,1.00484
1935.94,0.966520
1935.94,0.979151
1935.95,0.987594
1935.96,0.968409
1935.97,1.00129
1935.98,1.00280
1935.98,0.999070
1935.99,0.991043
1936.00,1.00257
1936.01,0.987685
1936.02,0.987248
1936.02,0.995292
1936.03,1.00219
1936.04,0.999485
1936.05,1.01416
1936.06,0.986702
1936.07,0.984421
1936.07,1.00386
1936.08,1.00760
1936.09,1.01096
1936.10,1.01417
1936.11,1.01017
1936.11,1.01093
1936.12,0.995637
1936.13,1.00680
1936.14,0.994924
1936.15,1.00632
1936.15,1.03927
1936.16,1.01007
1936.17,0.999548
1936.18,1.01437
1936.19,1.00095
1936.19,1.00540
1936.20,0.996435
1936.21,1.00462
1936.22,1.00229
1936.23,0.993117
1936.24,0.990677
1936.24,0.997539
1936.25,0.994002
1936.26,0.997386
1936.27,0.998488
1936.28,1.00780
1936.28,0.994504
1936.29,0.978231
1936.30,0.982056
1936.31,1.00682
1936.32,1.00218
1936.32,0.969566
1936.33,0.989786
1936.34,1.00838
1936.35,1.00205
1936.36,0.990736
1936.36,0.998566
1936.37,0.996953
1936.38,1.00857
1936.39,1.02063
1936.40,1.00133
1936.41,0.989769
1936.41,0.990516
1936.42,1.00606
1936.43,1.01645
1936.44,0.991461
1936.45,0.978893
1936.45,1.01111
1936.46,0.988468
1936.47,1.02353
1936.48,1.01896
1936.49,1.02523
1936.49,1.00715
1936.50,0.999933
1936.51,0.994531
1936.52,1.00217
1936.53,0.982997
1936.54,1.00105
1936.54,0.983611
1936.55,1.01868
1936.56,1.01550
1936.57,1.01256
1936.58,1.01256
1936.58,0.993275
1936.59,0.996878
1936.60,1.00115
1936.61,0.998642
1936.62,0.976446
1936.62,1.00609
1936.63,0.997133
1936.64,1.01800
1936.65,1.00052
1936.66,1.00502
1936.67,0.987534
1936.67,0.974724
1936.68,0.982779
1936.69,0.986381
1936.70,0.992238
1936.71,0.995692
1936.71,1.00329
1936.72,1.00603
1936.73,1.01543
1936.74,1.02304
1936.75,0.997887
1936.75,0.989828
1936.76,1.02385
1936.77,1.04160
1936.78,1.02685
1936.79,1.01804
1936.80,0.999538
1936.80,1.02125
1936.81,0.999510
1936.82,0.999532
1936.83,0.988579
1936.84,0.973541
1936.84,0.984957
1936.85,1.00085
1936.86,1.00232
1936.87,1.00205
1936.88,0.996969
1936.88,0.986011
1936.89,0.988721
1936.90,0.972358
1936.91,0.996550
1936.92,0.994358
1936.93,0.990045
1936.93,0.973653
1936.94,0.957780
1936.95,0.968596
1936.96,0.984267
1936.97,0.982138
1936.97,0.972134
1936.98,0.991384
1936.99,1.01396
1937.00,1.00255
1937.01,0.992866
1937.02,1.00319
1937.02,0.984335
1937.03,0.999543
1937.04,1.02911
1937.05,1.03375
1937.06,1.02163
1937.06,0.993324
1937.07,0.977138
1937.08,0.975109
1937.09,0.969886
1937.10,1.02468
1937.10,1.04256
1937.11,0.989167
1937.12,0.979138
1937.13,0.993346
1937.14,1.02434
1937.15,1.00777
1937.15,1.00408
1937.16,1.00225
1937.17,1.01958
1937.18,1.01542
1937.19,1.04956
1937.19,1.06464
1937.20,1.05261
1937.21,1.00951
1937.22,0.991756
1937.23,1.01300
1937.24,1.02725
1937.24,1.05174
1937.25,1.09305
1937.26,1.05598
1937.27,1.06074
1937.28,1.02840
1937.28,1.05553
1937.29,1.06900
1937.30,1.03616
1937.31,1.03209
1937.32,1.02934
1937.33,1.00254
1937.33,1.04263
1937.34,1.01974
1937.35,1.02441
1937.36,1.04521
1937.37,1.01950
1937.37,1.01694
1937.38,1.00504
1937.39,1.00419
1937.40,0.981412
1937.41,0.967152
1937.42,0.925404
1937.42,0.913201
1937.43,0.903495
1937.44,0.891345
1937.45,0.911292
1937.46,0.918495
1937.46,0.932717
1937.47,0.943516
1937.48,0.956308
1937.49,0.964895
1937.50,0.977750
1937.51,0.989661
1937.51,0.999934
1937.52,0.990619
1937.53,0.987255
1937.54,0.973441
1937.55,0.982509
1937.55,1.01143
1937.56,1.00050
1937.57,0.972515
1937.58,0.972477
1937.59,0.970788
1937.60,1.00195
1937.60,0.988014
1937.61,0.989203
1937.62,0.982366
1937.63,0.970095
1937.64,0.992622
1937.65,0.986397
1937.65,0.994676
1937.66,0.992780
